taxonomy_id,taxonomy_name,category_id,category_name,topic_id,topic_name,company_id,company_name,impact
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,bhsqwrriogn8,Wind Energy,1it1ywg7w694,Company 6,21.26340795401484
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,bjj2n2wezpm0,Tidal energy,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,bniwxgba73hu,Deforestation,1it1ywg7w694,Company 6,144.18377259559932
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,bplo3xe0jtrd,Safety Lapses,1it1ywg7w694,Company 6,0.028999999165534977
ioppcgfdgl6o,Polecat,4tk0o190sgbz,Culture,bwt2fkgamrym,CEO Pay,1it1ywg7w694,Company 6,0.3837915509939194
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,bzs4orpdrjsz,Oil spill,1it1ywg7w694,Company 6,2.0899610519409184
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,c1iwinzg5xb8,Sex Trafficking,1it1ywg7w694,Company 6,23.778660407289863
ioppcgfdgl6o,Polecat,4tk0o190sgbz,Culture,c2ccjrhkcjv0,Harassment,1it1ywg7w694,Company 6,1558.799949657172
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,c42ngv4pbfe2,Smuggling,1it1ywg7w694,Company 6,4.7947951909154645
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,c4z7juwg8g4d,Collusion,1it1ywg7w694,Company 6,14.568945326842368
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,c8hmm20zbt7r,Children's Rights,1it1ywg7w694,Company 6,647.5967871788888
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,cdk92buygwkh,Autonomous Vehicles,1it1ywg7w694,Company 6,116.83911046758293
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,cvvwu5tstq6k,Palm Oil,1it1ywg7w694,Company 6,270.82012734934693
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,cw2fovr6vx0j,Cronyism/Kleptocracy,1it1ywg7w694,Company 6,4.0782841822947375
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,cwijb8de9y5q,Biofuel/Biomass,1it1ywg7w694,Company 6,65.76420106273143
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,czxztkxwskfi,Scandal,1it1ywg7w694,Company 6,81.67619767598808
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,d0nd9xqmnjtm,Embezzlement,1it1ywg7w694,Company 6,2.2029307484626766
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,d2i1vyo68cs6,Security Breach,1it1ywg7w694,Company 6,17.66504337405786
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,d9uubthqd0as,Recalls,1it1ywg7w694,Company 6,23.544895339757204
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,da6kaldcpb7i,Hacking,1it1ywg7w694,Company 6,133.71535690966994
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,dezlsk1m7evm,Smartphone Apps,1it1ywg7w694,Company 6,143.03497961675748
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,djyu3fh83prh,Supply Chain Security,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,drh91x0gx10j,Patent,1it1ywg7w694,Company 6,579.8353625966703
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,efiikdxo5d92,FDA warning,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,4tk0o190sgbz,Culture,ejr250c5dki2,LGBT,1it1ywg7w694,Company 6,1497.3764766454694
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,euxznsddyzti,Sustainable Ingredients,1it1ywg7w694,Company 6,0.3086205404251814
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,f0qq06jvt6ke,Safety Regulations,1it1ywg7w694,Company 6,3.908539201132953
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,f6hdfysdg8k5,Overfishing,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,f9ss2662o4gl,Fraud,1it1ywg7w694,Company 6,237.76168293412772
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,fopuk0aibazu,RFID,1it1ywg7w694,Company 6,15.380995630286634
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,fxdrc0emi1jp,Supply Chain Due Diligence,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,g6cxl3941dzn,Fire,1it1ywg7w694,Company 6,2.874726885929704
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,gn40u1p8u0du,Boycott,1it1ywg7w694,Company 6,9432.199028897798
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,grbf70elaoqh,Smart Beta,1it1ywg7w694,Company 6,0.02199999988079071
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,h41qxly0446w,Probes,1it1ywg7w694,Company 6,1.1259880755096674
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,hw2rc8lpqbl8,Cyber Breach,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,i463c6ycvn9k,Industrial Accident,1it1ywg7w694,Company 6,0.38574278354644775
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,i604lx239qyi,Warrants,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,ibs0cbttqzve,Supply Chain Compliance,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,icpxsrj4uafp,Black/Grey Market,1it1ywg7w694,Company 6,12.141399566491598
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,id99wq732q1k,Animal Testing,1it1ywg7w694,Company 6,1228.6890506292693
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,igjdk6bqohtk,Civil Rights,1it1ywg7w694,Company 6,58.72118359338492
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,iilvxgp7xfvp,Mobile Apps,1it1ywg7w694,Company 6,165.02966306591406
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,ikqcc4agao8i,Biodiversity,1it1ywg7w694,Company 6,28.345371866598725
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,iqaq1f4nvd9t,Secure Supply,1it1ywg7w694,Company 6,0.4461608827114105
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,ivivkghqzbm3,Sponsorship,1it1ywg7w694,Company 6,288.23496050108224
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,j07u4pjyx2na,Tax Strategy,1it1ywg7w694,Company 6,58.0475700981915
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,j0oe6c03oj33,Service Disruption,1it1ywg7w694,Company 6,9.849594241939483
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,j2y36ghthfy9,Toxic leak,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,jgz4fql0ofv1,Chemical leak,1it1ywg7w694,Company 6,0.5493333339691162
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,jkgz5zyinid4,Poor Quality,1it1ywg7w694,Company 6,16.566851718351245
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,jkpfc9yjav96,Restricted Supply,1it1ywg7w694,Company 6,27.175375144928694
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,juni9nnrmtog,Data Breach,1it1ywg7w694,Company 6,1.3026829063892365
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,jvud1hpd42c7,Abuse of Position,1it1ywg7w694,Company 6,15.998358570039272
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,jyfxt0ms01kp,Shipping Delays,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,jzezltwwlltg,Pollinators,1it1ywg7w694,Company 6,1.1854735612869265
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,k5i66vo0io1a,Virtual Currency,1it1ywg7w694,Company 6,12.505346477031708
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,k5lblrcesn3l,Water Quality,1it1ywg7w694,Company 6,858.3775600469671
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,kp4g4uav7rd5,Money Laundering,1it1ywg7w694,Company 6,8.401017520576714
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,kpzgmyn7uadk,Corporate Giving,1it1ywg7w694,Company 6,1157.9297873752655
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,ks3pvp455g2f,Safety Profile,1it1ywg7w694,Company 6,0.6756935901939869
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,ksx1vh8zgdld,Anti-Trust,1it1ywg7w694,Company 6,22.75104524148628
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,l4l3jel14cnu,Supply Chain Transparency,1it1ywg7w694,Company 6,7.46121640689671
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,l6zfqo4csa6i,Off the Books,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,l7p8ca3j9q1u,Price Fixing,1it1ywg7w694,Company 6,333.7557166721672
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,lbc659j8afrf,Novel Medicine,1it1ywg7w694,Company 6,1.0123212784528732
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,lm7b0jtvmgpy,Sustainable Sourcing,1it1ywg7w694,Company 6,13.49645259976387
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,lmp9ed6cn2vt,FinTech,1it1ywg7w694,Company 6,19.70503294840455
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,m1fszsxc3nkl,Anti-Corruption,1it1ywg7w694,Company 6,1.664864502847195
ioppcgfdgl6o,Polecat,4tk0o190sgbz,Culture,m5a3xjceknjo,Disputes,1it1ywg7w694,Company 6,17.87404620135203
ioppcgfdgl6o,Polecat,4tk0o190sgbz,Culture,mjcwm0yyk5si,Sexual Assault,1it1ywg7w694,Company 6,19311.256507573416
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,mksd0k7xaivt,Pollution,1it1ywg7w694,Company 6,1235.4224363270914
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,mzz40zsxeh9d,Bribery,1it1ywg7w694,Company 6,89.73474946059288
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,n83lb7rgxtyl,Internet of Things,1it1ywg7w694,Company 6,97.61326021701096
ioppcgfdgl6o,Polecat,rxkbkzdfjmlq,Environment,nhdycctxh23p,Water Conservation,1it1ywg7w694,Company 6,84.87555666035041
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,nzmiyncrnak3,Wearables,1it1ywg7w694,Company 6,69.00840102043003
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,o0brdh9nl4ml,R&D,1it1ywg7w694,Company 6,533.7283956769388
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,o94mps2hw15k,Ethical Investment,1it1ywg7w694,Company 6,0.3562833517789841
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,oc8wrz81pmgl,Data Mining,1it1ywg7w694,Company 6,6.986366740427911
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,oek8n6vfe6c7,NanoTech,1it1ywg7w694,Company 6,59.84115648362786
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,og6ntraz781t,Racketeering,1it1ywg7w694,Company 6,0.6843333449214697
ioppcgfdgl6o,Polecat,476ypqxsc1bx,Business Continuity,oln27pqzt5xc,Safety Warnings/Labels,1it1ywg7w694,Company 6,5.148744329810143
ioppcgfdgl6o,Polecat,psuwmqyykiv3,Social Impact,omizebdx0njb,Conflict Diamonds,1it1ywg7w694,Company 6,0.0
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,oqi4kjnnikwz,Tax Havens,1it1ywg7w694,Company 6,0.7595483958721161
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,ozv1rk3gvzgq,Scam,1it1ywg7w694,Company 6,98.748690266395
ioppcgfdgl6o,Polecat,4tk0o190sgbz,Culture,pjdapnq3wrlv,Leave,1it1ywg7w694,Company 6,6.779570817016065
ioppcgfdgl6o,Polecat,yqli4g3hbfna,Innovation,ppncfseab40t,Robotics,1it1ywg7w694,Company 6,230.1199730483349
ioppcgfdgl6o,Polecat,4tk0o190sgbz,Culture,ptil71eens3r,Executive Pay,1it1ywg7w694,Company 6,16.33545370277716
ioppcgfdgl6o,Polecat,o0kzd637yu20,Business Compliance,pv95vppo6uek,Price Impropriety,1it1ywg7w694,Company 6,45.93951866589487
